Review,Preprocessed_Review,Sentiment
"TO ALL PROSPECTIVE MATH GENIE EAST BRUNSWICK JOB APPLICANTS: DO NOT APPLY TO THIS LOCATION, OR ANY OF THE OTHERS.

I recently applied for the English Language Arts teacher/tutor job position, and the company disregarded my application in the pre-screening stage. This was incomprehensible to me, because I met the qualifications/requirements listed below (NOTE: I retrieved them from one of their job postings on the Indeed job search website, on an url address that ironically is not part of their main website, and a reply e-mail from the administrator regarding qualifications for a teaching position verbatim):

""We are looking for people with teaching or tutoring experience who would love to work with students.

In order to be considered for this position, you must:

- love working with kids
- be energetic! After all, you will be working with young children!
- have a positive attitude
- understand the rules of grammar
- have good time management skills
- arrive for your classes consistently and promptly
- be very task-oriented""

""The only two things we require is for you to be above the high school level and have the government authorization to work. Please forward us your resume and we will set up an interview. Thanks!"" - Administrator of Math Genie East Brunswick

Here, she did not specify submitting the resume either by postal mail or e-mail. Furthermore, after submitting my resume by postal mail, she and Math Genie never gave any kind of response to my e-mail, which indicated a lack of professionalism.

The most disturbing part of this rejection was that they disregarded an Asian-American, newly CELTA qualified, learning disabled applicant.

Three additional things to keep in mind for those of you who still want to apply to this company despite the aforementioned (NOTE: They are NOT intended to be racist and/or derogatory. Instead, they are truths that Google, the director, and assistant director/administrator are preventing prospective job applicants from knowing.):

1.) Math Genie IS an imitation of Aloha Mind Math East Brunswick, because it supplement teaches math using the abacus, as well as reading and writing.

2.) If you are of Indian descent, then you have a 99% chance of obtaining a teaching/tutoring job with this company (NOTE: The director and assistant director/administrator of Math Genie East Brunswick are of Indian descent). On the other hand, if you are not, then the director will not pay attention to your job application. Nonetheless, do not bother applying, even if you meet their minimum qualifications/requirements.

3.) Similarly, if you are of non-Indian descent, gifted and talented, and not learning disabled, then you have a 99% chance of getting a teaching/tutoring position with this company.

If you do a thorough research, you will be able to verify what I said, and therefore they can not be disputed.

The company is NOT an equal opportunity employer regardless of its location. THE TRUTH HURTS.",prospective math genie east brunswick job applicants apply location others recently applied english language arts job position company disregarded application stage incomprehensible met listed note retrieved one job postings indeed job search website url address ironically part main website reply administrator regarding qualifications teaching position verbatim looking people teaching tutoring experience would love work students order considered position must love working kids energetic working young children positive attitude understand rules grammar good time management skills arrive classes consistently promptly two things require high school level government authorization work please forward us resume set interview thanks administrator math genie east brunswick specify submitting resume either postal mail furthermore submitting resume postal mail math genie never gave kind response indicated lack professionalism disturbing part rejection disregarded newly celta qualified learning disabled applicant three additional things keep mind still want apply company despite aforementioned note intended racist derogatory instead truths google director assistant preventing prospective job applicants knowing 1 math genie imitation aloha mind math east brunswick supplement teaches math using abacus well reading writing 2 indian descent 99 chance obtaining job company note director assistant math genie east brunswick indian descent hand director pay attention job application nonetheless bother applying even meet minimum 3 similarly descent gifted talented learning disabled 99 chance getting position company thorough research able verify said therefore disputed company equal opportunity employer regardless location truth hurts,Positive
"Initially, I enrolled my 7 year old son in Math Genie to keep him abreast during the summer months.  Currently, for his 3rd grade fall school semester, he has received all 100s on given math tests including the extra points. He is excelling in math and I am so proud of him. The style of teaching has helped foster him in in quicker response times and increased accuracy and efficiency in his math calculations.  I highly recommend the program.",initially enrolled 7 year old son math genie keep abreast summer months currently 3rd grade fall school semester received 100s given math tests including extra points excelling math proud style teaching helped foster quicker response times increased accuracy efficiency math calculations highly recommend program,Positive
It enabled my Kid's analytical skills and thinking power. It is just not a repetitive math program. Teach is very knowledgable and helps my kid to  when required. Great and highly recommend it for all the kids.,enabled kid analytical skills thinking power repetitive math program teach knowledgable helps kid required great highly recommend kids,Positive
"We have been going to Math Genie for quite a while and it has been great. My daughter has improved a lot in maths and she is able to work on math problems with ease.

She is very confident now and its helped her a lot in school as well.

I appreciate the teachers for all the efforts they put in every class.",going math genie quite great daughter improved lot maths able work math problems ease confident helped lot school well appreciate teachers efforts put every class,Positive
"I am very pleased with the progress I am seeing from my daughter. She is enrolled in the reading program and loves it. The director immediately identified her learning style which helped me understand how I can assist her at home. Her teachers at (St. Barts) school are seeing a more focused, excited little girl who really enjoys reading.  This program has given her so much confidence....I really couldn't ask for more. Thank you Ms. Niralee for all that you have done and continue to do for my child and all of the children you teach.

Best,
Melissa Chonillo",pleased progress seeing daughter enrolled reading program loves director immediately identified learning style helped understand assist home teachers barts school seeing focused excited little girl really enjoys reading program given much confidence really could ask thank niralee done continue child children teach best melissa chonillo,Positive
"This is the best place / program, if you are looking to teach Abacus Maths / English / Reading / Writing for your kids. Since joining my son was able to perform additions / subractions mentally and started reading words. Program is designed in such a way so that students can have fun in addition to learning. Teachers and staff are very friendly, co-operative, cordial and dedicated in all the aspects and give individual attention to kid's progress. I would definitely recommend Math genie to anyone for the betterment of kids.",best place program looking teach abacus maths english reading writing kids since joining son able perform additions subractions mentally started reading words program designed way students fun addition learning teachers staff friendly cordial dedicated aspects give individual attention kid progress would definitely recommend math genie anyone betterment kids,Positive
Our daughter has been enrolled since August 2015. It was the best decision we made. It helped her start kindergarten with confidence.  Test scores in school are A's!,daughter enrolled since august 2015 best decision made helped start kindergarten confidence test scores school,Positive
My son has been going here for reading class for nearly 3 years! We love it. The class has progressively improved his grades in language and arts classes. Mohit and staff are always helpful.,son going reading class nearly 3 years love class progressively improved grades language arts classes mohit staff always helpful,Positive
This is such a great program it has brought my daughters grades up in math and she is more confident than ever. She loves coming to class and the staff is so nice and helping questions answered emails returned. The price is very affordable better than any other program we ever tried. Highly recommend.,great program brought daughters grades math confident ever loves coming class staff nice helping questions answered emails returned price affordable better program ever tried highly recommend,Positive
"My daughter has been going to both math and reading classes at Math Genie since she started the kindergarten. The reason is that I was worried that she was behind her class as I did not pay attention when she was in pre-K. Once my daughter started the classes at the math genie, I can see her improvement, especially in the reading. She has been in reading classes (which covers various topics such as phonics, spelling, language art..etc) for 1.5 years now, and she exceeds of the read level that is expected in her grade. For math, she struggled with abacus a bit at first but now she is getting better at it. The core curriculum that is covered in math is also helpful. I am very happy about the results. Not only that, my daughter really enjoys the classes. The teachers and staffs are very friendly. I would recommend math genie to anyone.",daughter going math reading classes math genie since started kindergarten reason worried behind class pay attention daughter started classes math genie see improvement especially reading reading classes covers various topics phonics spelling language art etc years exceeds read level expected grade math struggled abacus bit first getting better core curriculum covered math also helpful happy results daughter really enjoys classes teachers staffs friendly would recommend math genie anyone,Positive
"Math Genie has helped my daughter a lot in her school grades. Before Math Genie she was puzzled on every problem she had, but after Math Genie she can do everything on her own without our help. The teachers encourage to make kids do more. Teachers and staff are excellent in this surveillance . Thanks Math Genie for improving my daughter's skills.",math genie helped daughter lot school grades math genie puzzled every problem math genie everything without help teachers encourage make kids teachers staff excellent surveillance thanks math genie improving daughter skills,Positive
"I have nothing, but great things to say about math Genie.  Their staff is outstanding _ they really care about your child education.  My son's teacher Ms. Magam makes sure she come out after every class to explain what they did that day and where your child stands.   This program has enable my child to learn math with ease and he is above his grade level in math.  I recommend this program to any parent that want to give their child an advantage in math above their grade level.

Andres and Debora Oquendo",nothing great things say math genie staff outstanding really care child education son teacher magam makes sure come every class explain day child stands program enable child learn math ease grade level math recommend program parent want give child advantage math grade level andres debora oquendo,Positive
Math Genie has helped a lot in improving my daughter(Ananya Manoj)'s grades. It has improved her solving math problems more faster and correctly. The teachers and stuff are really good who encourage the students to do more. I would definitely recommend  Math Genie to everyone as it truly enrich your child's ability of problem solving.,math genie helped lot improving daughter ananya manoj grades improved solving math problems faster correctly teachers stuff really good encourage students would definitely recommend math genie everyone truly enrich child ability problem solving,Positive
My Both kids have been going to Math Genie for more than 2 years. I have seen great progress since they joined. I am very happy with the teachers the way they teach. Even the staff is very friendly .I would recommend Math Genie for every parent for sure as it helped my both kids who attend math and English which helped them to get better grades in school and increased their thinking ability and problem solving skills,kids going math genie 2 years seen great progress since joined happy teachers way teach even staff friendly would recommend math genie every parent sure helped kids attend math english helped get better grades school increased thinking ability problem solving skills,Positive
It is a great place. The teachers are wonderful and very knowledgeable. I recommend you take your children there for a great learning experience.,great place teachers wonderful knowledgeable recommend take children great learning experience,Positive
"Math genie is very helpful to my child because they give personal attention to my child
they point the draw backs and work on the issue where the child has a problem which helps the child's fluency in advanced math and its concepts .Abacus initially and eventually everything is done in the head.

My older child has graduated from this program and helps other kids by assisting Miss
Olga. My second child is in the process of graduating in 1 month,Its a long process
but looking back it is fruitful,in how important math is in our culture.

Highly recommend as a supplemental  program.",math genie helpful child give personal attention child point draw backs work issue child problem helps child fluency advanced math concepts initially eventually everything done head older child graduated program helps kids assisting miss olga second child process graduating 1 month long process looking back fruitful important math culture highly recommend supplemental program,Positive
"My kids always enjoy and they feel doing Math is fun at Math Genie. They never complain about doing homework. This facility is very flexible in arranging the make up classes for any missed sessions. Teachers are very knowledgeable, friendly always easy to approach.",kids always enjoy feel math fun math genie never complain homework facility flexible arranging make classes missed sessions teachers knowledgeable friendly always easy approach,Positive
Hello I am a student that is in math genie. In my opinion i think that math genie is a nice place to learn math and reading. I also love the teachers when they teach me and my classmates that go to math genie and play us a game. Also it is a nice and awsome place to be! Thank you teacher for teaching me in math genie. And I hope you join this tutor/tusion too!!!!😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃😃;);):):):):):):):):):):):):):):),hello student math genie opinion think math genie nice place learn math reading also love teachers teach classmates go math genie play us game also nice awsome place thank teacher teaching math genie hope join,Positive
"My child has attended Math Genie for more then two years and she loves it. She wakes up excited saying, ""Yay! Math Genie is today"". Her teacher is caring and she makes sure that my daughter is going in the right path.",child attended math genie two years loves wakes excited saying yay math genie today teacher caring makes sure daughter going right path,Positive
"It works!
They also work with you on making sure your child is not overwhelmed and enjoys learning math.",works also work making sure child overwhelmed enjoys learning math,Positive
My son is 5 years of age and since we have put him in Math Genie We have seen an improvement in math and he always can wait to come back.  We love it.,son 5 years age since put math genie seen improvement math always wait come back love,Positive
"My two children (a kindergartener and a third grader) have been going to Math Genie for 4 months now, and I'm very pleased with the results.  I've found that Math Genie is great for both remediation and enrichment.  In addition, the staff are friendly and supportive, and my children enjoy going there.  I know that my children's  understanding of number concepts and facility with mathematical operations have greatly increased in the short time that they have been going there.  I can't wait to see how much more their mathematical minds grow!",two children kindergartener third grader going math genie 4 months pleased results found math genie great remediation enrichment addition staff friendly supportive children enjoy going know children understanding number concepts facility mathematical operations greatly increased short time going ca wait see much mathematical minds grow,Positive
"My first-grade daughter has been enrolled in Math Genie since October 2015.  She grasped the concepts very quickly, and I believe it has a lot to do with Math Genie being ""fun"" for her.  She is excited about learning, and is always excited to attend her weekly Math Genie class.  She has above average grades in math, and she is not intimidated by math.  Her math teacher is very energetic and patient and does a great job in combing the learning concepts with fun.  She gives the kids incentives and the kids appreciate and respond to her in a positive manner.

We will be moving to another town, and one of the first things I researched was if there was a Math Genie located near our new home--and I am happy to say there is!

I highly recommend Math Genie, especially for little ones who are just learning--it makes it even easier to learn.",daughter enrolled math genie since october 2015 grasped concepts quickly believe lot math genie fun excited learning always excited attend weekly math genie class average grades math intimidated math math teacher energetic patient great job combing learning concepts fun gives kids incentives kids appreciate respond positive manner moving another town one first things researched math genie located near new home happy say highly recommend math genie especially little ones learning makes even easier learn,Positive
Thank you very much Maths genie for you've done a great job with my son Aryaan. My son has started reading and writing which was like impossible few months ago. thanks again.,thank much maths genie done great job son aryaan son started reading writing like impossible months ago thanks,Positive
"Our 6 yr old son has been participating in this program since he was 3 ½.  The teachers and staff are excellent, assist with any concerns and provide useful feedback. We’ve noticed a huge difference in his math and reading skills compared to his peers. He scored 97% on his gifted and talented exam for NY public school and is at the top of his Kindergarten class. The videos you may have seen of the kids performing complex calculations in their heads are true. My wife and I have to use a calculator to keep up with him or check his homework, which he enjoys doing independently!

Our 3 ½ yr old daughter just started the program about one month ago and already we see improvement in her number writing, attention and she is performing basic calculations on her abacus.  She told her brother this morning she wants to be a Math Genie just like him.

The program is great but you still have to support the children by assisting them with their homework and we perform 10 mental math problems every morning with breakfast.  (It takes about 5 min daily). We travel far from Staten Island and are big supporters of this program. The best part is the kids enjoy learning!",6 yr old son participating program since 3 ½ teachers staff excellent assist concerns provide useful feedback noticed huge difference math reading skills compared peers scored 97 gifted talented exam ny public school top kindergarten class videos may seen kids performing complex calculations heads true wife use calculator keep check homework enjoys independently 3 ½ yr old daughter started program one month ago already see improvement number writing attention performing basic calculations abacus told brother morning wants math genie like program great still support children assisting homework perform 10 mental math problems every morning breakfast takes 5 min daily travel far staten island big supporters program best part kids enjoy learning,Positive
My son has been attending Math Genie for about 4 months and we are pleased with the progress that he has made. The avacous they use in Math Genie is a great tool for the kids to learn math. The staff is great and the place is a great environment for the kids to learn. We are happy that we found a wonderful place that my son feels comfortable to attend and he love the teacher and staff.,son attending math genie 4 months pleased progress made avacous use math genie great tool kids learn math staff great place great environment kids learn happy found wonderful place son feels comfortable attend love teacher staff,Positive
My daughter was in 3rd grade when she joined this place.    She has been doing wonderful in math in school.  Math ginie has helped her bulid her confidence.  The teachers are awesome and supportive to the kids need. What I like the best is that they focus not only in abacus but also follow the core curriculum.   This year my daughter is graduating from the program and I couldn't be prouder.  I am glad I made her join this program.  My son is in kindergarten and I have already enrolled him in the math program.  This says it all!   Thank-you Math Ginie.  You guys made math fun and easy for our kids!!!,daughter 3rd grade joined place wonderful math school math ginie helped bulid confidence teachers awesome supportive kids need like best focus abacus also follow core curriculum year daughter graduating program could prouder glad made join program son kindergarten already enrolled math program says math ginie guys made math fun easy kids,Positive
